Model,2024-02-13 06:00:00,2024-02-13 18:00:00,2024-02-14 06:00:00,2024-02-14 18:00:00,2024-02-15 06:00:00,2024-02-15 18:00:00,2024-02-16 06:00:00,2024-02-16 18:00:00,2024-02-17 06:00:00,2024-02-17 18:00:00,2024-02-18 06:00:00,2024-02-18 18:00:00,2024-02-19 06:00:00,2024-02-19 18:00:00,2024-02-20 06:00:00,2024-02-20 18:00:00,2024-02-21 06:00:00,2024-02-21 18:00:00,2024-02-22 06:00:00,2024-02-22 18:00:00,2024-02-23 06:00:00,2024-02-23 18:00:00,2024-02-24 06:00:00,2024-02-24 18:00:00,2024-02-25 06:00:00,2024-02-25 18:00:00,2024-02-26 06:00:00,2024-02-26 18:00:00,2024-02-27 06:00:00,2024-02-27 18:00:00,2024-02-28 00:00:00,2024-02-28 06:00:00,2024-02-28 12:00:00,2024-02-28 18:00:00,2024-02-29 00:00:00,2024-02-29 06:00:00,2024-02-29 12:00:00,2024-02-29 18:00:00,2024-03-01 00:00:00,2024-03-01 06:00:00,2024-03-01 12:00:00,2024-03-01 18:00:00,2024-03-02 00:00:00,2024-03-02 06:00:00,2024-03-02 12:00:00,2024-03-02 18:00:00,2024-03-03 00:00:00,2024-03-03 06:00:00,2024-03-03 12:00:00,2024-03-03 18:00:00,2024-03-04 00:00:00,2024-03-04 06:00:00,2024-03-04 12:00:00,2024-03-04 18:00:00,2024-03-05 00:00:00,2024-03-05 06:00:00,2024-03-05 12:00:00,2024-03-05 18:00:00,2024-03-06 00:00:00,2024-03-06 06:00:00,2024-03-06 12:00:00,2024-03-06 18:00:00,2024-03-07 00:00:00,2024-03-07 06:00:00,2024-03-07 12:00:00,2024-03-07 18:00:00,2024-03-08 00:00:00,2024-03-08 06:00:00,2024-03-08 12:00:00,2024-03-08 18:00:00,2024-03-09 00:00:00,2024-03-09 06:00:00,2024-03-09 12:00:00,2024-03-09 18:00:00,2024-03-10 00:00:00,2024-03-10 06:00:00,2024-03-10 12:00:00,2024-03-10 18:00:00,2024-03-11 00:00:00,2024-03-11 06:00:00,2024-03-11 12:00:00,2024-03-11 18:00:00,2024-03-12 00:00:00,2024-03-12 06:00:00,2024-03-12 12:00:00,2024-03-12 18:00:00,2024-03-13 00:00:00,2024-03-13 06:00:00,2024-03-13 18:00:00,2024-03-15 00:00:00,2024-03-15 06:00:00,2024-03-15 12:00:00,2024-03-15 18:00:00,2024-03-16 00:00:00,2024-03-16 06:00:00,2024-03-16 12:00:00,2024-03-16 18:00:00,2024-03-17 00:00:00,2024-03-17 06:00:00,2024-03-17 12:00:00,2024-03-17 18:00:00,2024-03-18 00:00:00,2024-03-18 06:00:00,2024-03-18 12:00:00,2024-03-18 18:00:00,2024-03-19 00:00:00,2024-03-19 06:00:00,2024-03-19 12:00:00,2024-03-19 18:00:00,2024-03-20 00:00:00,2024-03-20 06:00:00,2024-03-20 12:00:00,2024-03-20 18:00:00,2024-03-21 00:00:00,2024-03-21 06:00:00,2024-03-21 12:00:00,2024-03-21 18:00:00,2024-03-22 00:00:00,2024-03-22 06:00:00,2024-03-22 12:00:00,2024-03-22 18:00:00,2024-03-23 00:00:00,2024-03-23 06:00:00,2024-03-23 12:00:00,2024-03-23 18:00:00,2024-03-24 00:00:00,2024-03-24 06:00:00,2024-03-24 12:00:00,2024-03-24 18:00:00,2024-03-25 00:00:00,2024-03-25 06:00:00,2024-03-25 12:00:00,2024-03-25 18:00:00,2024-03-26 00:00:00,2024-03-26 06:00:00,2024-03-26 12:00:00,2024-03-26 18:00:00,2024-03-27 00:00:00,2024-03-27 06:00:00,2024-03-27 12:00:00,2024-03-27 18:00:00,2024-03-28 00:00:00,2024-03-28 06:00:00,2024-03-28 12:00:00,2024-03-28 18:00:00,2024-03-29 00:00:00,2024-03-29 06:00:00,2024-03-29 12:00:00,2024-03-29 18:00:00,2024-03-30 00:00:00,2024-03-30 06:00:00,2024-03-30 12:00:00,2024-03-30 18:00:00,2024-03-31 00:00:00,2024-03-31 06:00:00,2024-03-31 12:00:00,2024-03-31 18:00:00,2024-04-01 00:00:00,2024-04-01 06:00:00,2024-04-01 12:00:00,2024-04-01 18:00:00,2024-04-02 00:00:00,2024-04-02 06:00:00,2024-04-02 12:00:00,2024-04-02 18:00:00,2024-04-03 00:00:00,2024-04-03 06:00:00,2024-04-03 12:00:00,2024-04-03 18:00:00,2024-04-04 00:00:00,2024-04-04 06:00:00,2024-04-04 12:00:00,2024-04-04 18:00:00,2024-04-05 00:00:00,2024-04-05 06:00:00,2024-04-05 12:00:00,2024-04-05 18:00:00,2024-04-06 00:00:00,2024-04-06 06:00:00,2024-04-06 12:00:00,2024-04-06 18:00:00,2024-04-07 00:00:00,2024-04-07 06:00:00,2024-04-07 12:00:00,2024-04-07 18:00:00,2024-04-08 00:00:00,2024-04-08 06:00:00,2024-04-08 12:00:00,2024-04-08 18:00:00,2024-04-09 00:00:00,2024-04-09 06:00:00,2024-04-09 12:00:00,2024-04-09 18:00:00,2024-04-10 00:00:00,2024-04-10 06:00:00,2024-04-10 12:00:00,2024-04-10 18:00:00,2024-04-11 00:00:00,2024-04-11 06:00:00,2024-04-11 12:00:00,2024-04-11 18:00:00,2024-04-12 00:00:00,2024-04-12 06:00:00,2024-04-12 12:00:00,2024-04-12 18:00:00,2024-04-13 00:00:00,2024-04-13 06:00:00,2024-04-13 12:00:00,2024-04-13 18:00:00,2024-04-14 00:00:00,2024-04-14 06:00:00,2024-04-14 12:00:00,2024-04-14 18:00:00,2024-04-15 00:00:00
Observations data 30d,7.2,7.2,9.4,11.1,12,13.4,12.3,10.7,10.3,10.5,11.4,12,11,10.2,9.4,9.6,10.3,10.1,10,7.6,5.3,5.9,4.4,4.4,4.2,3.9,6,6.3,5.1,5.3,,7,,7.7,,9.3,,8.8,,6.2,,5.4,,5.5,,5.4,,4.3,,5.1,,4.8,,5.4,,7.9,,8.1,,6.7,,6.5,,7.6,,7.1,,7.2,,6.9,,7.5,,8.6,,9.1,,7.9,,7.4,,7.2,,7.5,,9.7,,11.7,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMC ENS median 00Z 14 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,11.2,11.2,11.1,9.9,8.8,8.1,7.7,8.5,9.7,10.5,11.3,11,10.5,10.1,9.8,9.4,9.7,9.8,9.6,9.7,9.4,9.1,9,8.7,8.1,8.1,8.2,7.6,7.9,7.9,7.9,7.5,6.9,6.7,6.8,6.4,6.3,6.4,6.3,6.3,6.3,6.7,6.4,6.6,7.2,7,6.6,6,6,6,6.4,6.4,6.5,6.4,6.4,6.8,7.1,6.7,7,6.8,7.3,7.4,7.8,7.8,7.5,7,6.8,6.7,7.1,7.4,7.7,7.1,7.1,6.9,6.8,7,7.6,7.6,7.5,7.4,7.7,7.5,7.3,7.4,7.5,7.5,7.8,8.2,7.9,7.9,8,8.3,8.3,8.6,9,9,9.1,9.1,9.1,9.1,8.7,8.7,8.6,8.5,8.4,8.5,8.4,8.2,8.2,8.4,8.2,8.3,8.2,8.6,9.1,9,8.7,9,8.8,8.1,8.7,8.4,8.6,8.5
CMC ENS mean 00Z 14 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11.3,11.3,11.1,10,8.7,8.1,7.6,8.4,9.6,10.4,11.1,10.9,10.3,10,9.7,9.5,9.6,9.6,9.5,9.7,9.5,9.3,9,8.6,8,7.8,7.6,7.7,7.9,8,7.9,7.6,7.2,7,6.7,6.6,6.4,6.4,6.4,6.3,6.2,6.1,6.1,6.2,6.3,6.4,6.3,6.3,6.1,6.1,6.1,6.2,6.4,6.5,6.6,6.8,6.9,7,7.1,7.3,7.6,7.8,8,8.1,8,7.9,7.7,7.6,7.5,7.4,7.3,7.2,7,6.9,6.9,6.9,7,7,7.1,7.2,7.3,7.4,7.4,7.5,7.5,7.5,7.4,7.3,7.1,7.1,7.1,7.2,7.4,7.7,7.9,8.2,8.3,8.4,8.5,8.3,8,8,7.9,8,8.1,8.1,8.2,8.1,8,8,8,8,7.9,8,8.1,8.1,8.2,8.2,8.1,8,7.8,7.8,7.7,7.6
GFS ENS median 06Z 14 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,11.2,11.1,10.1,8.4,8,7.6,8.5,9.7,10.5,11.3,11,10.5,10.4,10,10.3,10.5,10.4,10.1,9.9,9.9,9.8,9.4,9.3,9.1,8.7,8.4,8.4,8.5,8.6,8.6,7.9,8.2,8.1,7.5,7.3,6.8,6.6,6.5,6.5,7,6.7,6.4,6.2,6.7,6.8,6.9,6.6,6.6,6.7,6.4,6.3,6.5,6.5,6.4,6.4,6.5,6.5,6.3,6.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFS ENS mean 06Z 14 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,11.2,11,10,8.4,8,7.6,8.4,9.7,10.4,11.2,10.9,10.4,10.3,10.2,10.2,10.3,10.3,10.2,10.1,9.9,9.7,9.4,9.2,8.8,8.6,8.5,8.5,8.6,8.6,8.6,8.5,8.3,8.1,7.8,7.5,7.2,7.1,7,7,7.1,6.9,6.8,6.8,6.8,6.8,6.8,6.6,6.4,6.4,6.5,6.5,6.5,6.6,6.7,6.6,6.6,6.5,6.5,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC EPS median 00Z 27 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.3,5.6,5.9,7.6,8.9,9.1,8.8,7.1,5.7,5,4.5,4.3,4.1,4.3,4.5,4.3,4.4,4.9,5.2,5.1,5.2,5.3,5.5,5.6,5.8,6.2,6.5,6.8,6.8,7.1,7.3,7.6,8,8,8.2,7.8,7.8,7.8,7.7,7.7,8,7.8,7.7,8.1,8,7.7,7.5,7.7,7.7,7.8,7.8,8.3,8.1,7.8,7.9,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC EPS mean 00Z 27 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.3,5.6,5.9,7.5,8.9,9.1,8.9,7.2,5.7,5.1,4.6,4.4,4.2,4.4,4.5,4.5,4.6,4.8,5,5.1,5.4,5.4,5.5,5.7,5.9,6.2,6.5,6.8,7.1,7.4,7.6,7.8,8,8.1,8.2,8.2,8.2,8.3,8.3,8.2,8.2,8.1,8,7.9,7.8,7.7,7.7,7.6,7.6,7.6,7.6,7.7,7.7,7.6,7.5,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC Op  00Z 27 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.2,5.5,5.9,7.4,8.9,9.2,9,7.2,5.7,4.9,4.4,4,3.5,3.7,3.8,3.5,3.4,3.7,4,4.8,5.4,5.5,5.7,5.8,5.8,6.2,6.6,6.3,6.6,6.9,7.2,7.8,8.1,8.3,8.6,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magma data 00Z 27 Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,,5.3,,6,,9.1,,8.9,,5.6,,4.3,,4,,4.1,,4,,4.5,,5.4,,5.6,,5.8,,6.4,,7,,7.5,,8,,8.1,,8,,8,,7.9,,7.8,,7.7,,7.6,,7.7,,7.7,,7.8,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC EPS median 00Z 14 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11.3,11.3,11.1,10,8,7.6,7.4,8.2,10,10.7,11.4,11.2,11,10.8,10.5,10.1,9.9,9.9,9.8,10.1,10.4,10.1,9.8,9.3,8.5,7.7,7.4,7.5,7.9,8.1,8.3,8.5,8,8.2,7.9,7.8,7.3,7,6.7,6.9,6.8,6.9,6.8,6.6,7.2,7.1,7,6.9,7,7,6.8,6.9,7.1,7.2,7,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
